datetime,value
2024-04-05T06:00:00Z,4293.0
2024-04-05T12:00:00Z,3808.0
2024-04-05T18:00:00Z,2683.0
2024-04-06T00:00:00Z,3524.0
2024-04-06T06:00:00Z,2456.0
2024-04-06T12:00:00Z,2733.0
2024-04-06T18:00:00Z,2090.0
2024-04-07T00:00:00Z,1971.0
2024-04-07T06:00:00Z,3806.0
2024-04-07T12:00:00Z,2572.0
2024-04-07T18:00:00Z,2777.0
2024-04-08T00:00:00Z,2309.0
2024-04-08T06:00:00Z,4133.0
2024-04-08T12:00:00Z,4205.0
2024-04-08T18:00:00Z,3613.0
2024-04-09T00:00:00Z,2828.0
2024-04-09T06:00:00Z,3146.0
2024-04-09T12:00:00Z,3645.0
2024-04-09T18:00:00Z,2774.0
2024-04-10T00:00:00Z,2182.0
2024-04-10T06:00:00Z,2173.0
2024-04-10T12:00:00Z,3742.0
2024-04-10T18:00:00Z,2391.0
2024-04-11T00:00:00Z,2700.0
2024-04-11T06:00:00Z,3353.0
2024-04-11T12:00:00Z,2580.0
2024-04-11T18:00:00Z,2967.0
2024-04-12T00:00:00Z,2753.0
2024-04-12T06:00:00Z,2927.0
2024-04-12T12:00:00Z,3353.0
2024-04-12T18:00:00Z,3972.0
2024-04-13T00:00:00Z,2324.0
2024-04-13T06:00:00Z,2085.0
2024-04-13T12:00:00Z,2531.0
2024-04-13T18:00:00Z,4060.0
2024-04-14T00:00:00Z,2110.0
2024-04-14T06:00:00Z,2405.0
2024-04-14T12:00:00Z,2335.0
2024-04-14T18:00:00Z,2143.0
2024-04-15T00:00:00Z,1862.0
2024-04-15T06:00:00Z,3351.0
2024-04-15T12:00:00Z,4127.0
2024-04-15T18:00:00Z,3705.0
2024-04-16T00:00:00Z,2440.0
2024-04-16T06:00:00Z,3924.0
2024-04-16T12:00:00Z,4883.0
2024-04-16T18:00:00Z,3170.0
2024-04-17T00:00:00Z,2827.0
2024-04-17T06:00:00Z,2659.0
2024-04-17T12:00:00Z,4104.0
2024-04-17T18:00:00Z,2963.0
2024-04-18T00:00:00Z,2997.0
2024-04-18T06:00:00Z,2800.0
2024-04-18T12:00:00Z,3518.0
2024-04-18T18:00:00Z,2555.0
2024-04-19T00:00:00Z,3220.0
2024-04-19T06:00:00Z,2785.0
2024-04-19T12:00:00Z,3742.0
2024-04-19T18:00:00Z,3132.0
2024-04-20T00:00:00Z,1201.0
2024-04-20T06:00:00Z,1248.0
2024-04-20T12:00:00Z,1248.0
2024-04-20T18:00:00Z,1444.0
2024-04-21T00:00:00Z,1095.0
2024-04-21T06:00:00Z,1632.0
2024-04-21T12:00:00Z,1496.0
2024-04-21T18:00:00Z,1351.0
2024-04-22T00:00:00Z,1379.0
2024-04-22T06:00:00Z,2300.0
2024-04-22T12:00:00Z,2910.0
2024-04-22T18:00:00Z,2246.0
2024-04-23T00:00:00Z,1454.0
2024-04-23T06:00:00Z,1973.0
2024-04-23T12:00:00Z,2036.0
2024-04-23T18:00:00Z,2175.0
2024-04-24T00:00:00Z,1771.0
2024-04-24T06:00:00Z,2314.0
2024-04-24T12:00:00Z,2899.0
2024-04-24T18:00:00Z,3096.0
2024-04-25T00:00:00Z,2146.0
2024-04-25T06:00:00Z,2566.0
2024-04-25T12:00:00Z,2672.0
2024-04-25T18:00:00Z,2705.0
2024-04-26T00:00:00Z,2481.0
2024-04-26T06:00:00Z,2543.0
2024-04-26T12:00:00Z,3119.0
2024-04-26T18:00:00Z,2863.0
2024-04-27T00:00:00Z,2091.0
2024-04-27T06:00:00Z,1896.0
2024-04-27T12:00:00Z,2179.0
2024-04-27T18:00:00Z,1964.0
2024-04-28T00:00:00Z,1839.0
2024-04-28T06:00:00Z,1817.0
2024-04-28T12:00:00Z,2333.0
2024-04-28T18:00:00Z,1983.0
2024-04-29T00:00:00Z,2125.0
2024-04-29T06:00:00Z,2501.0
2024-04-29T12:00:00Z,2905.0
2024-04-29T18:00:00Z,2798.0
2024-04-30T00:00:00Z,2238.0
2024-04-30T06:00:00Z,4083.0
2024-04-30T12:00:00Z,3618.0
2024-04-30T18:00:00Z,3389.0
2024-05-01T00:00:00Z,2204.0
2024-05-01T06:00:00Z,4183.0
